d_model,nhead,num_layers,dim_f,flow_hidden,flow_layers,best_val_mse,test_mse,test_mae
64,2,2,64,16,1,0.005521143451333046,0.004822108186781407,0.051996456384658815
64,2,2,64,16,2,0.005669696927070617,0.005219263918697834,0.05400430351495743
64,2,2,64,16,3,0.003306142762303352,0.002954755653627217,0.04185986697673798
64,2,2,64,16,4,0.003017547791823745,0.002751624556258321,0.03945919305086136
64,2,2,64,16,5,0.002300529573112726,0.0022623348562046887,0.03714864879846573
64,2,2,64,16,6,0.0023013943061232565,0.0045271770935505625,0.04130142509937287
64,2,2,64,16,8,0.0017221625987440348,0.0016780270775780082,0.030976843237876892
64,2,2,64,32,1,0.004920453727245331,0.004491599053144455,0.04914148509502411
64,2,2,64,32,2,0.006084954775869847,0.005058387964963913,0.05156075954437256
64,2,2,64,32,3,0.004066889472305775,0.003127993606030941,0.041474448144435884
64,2,2,64,32,4,0.00424330621957779,0.0024202078580856322,0.03724200636148453
64,2,2,64,32,5,0.004892783109098673,0.0032634302228689194,0.04323146134614944
64,2,2,64,32,6,0.0035677766054868698,0.003332945154979825,0.043161335289478304
64,2,2,64,32,8,0.0030126950703561308,0.0028532128781080246,0.04130140721797943
64,2,2,64,64,1,0.005735510624945163,0.004551243148744106,0.049627667665481566
64,2,2,64,64,2,0.0023803393822163345,0.0026169360615313055,0.04029604315757752
64,2,2,64,64,3,0.00229453113861382,0.002017732951790094,0.03389984995126724
64,2,2,64,64,4,0.003067105198279023,0.002639268580824137,0.038822633922100065
64,2,2,64,64,5,0.001634871168062091,0.0013588971784338356,0.028318530917167663
64,2,2,64,64,6,0.001891222419217229,0.0014952881820499897,0.02937215059995651
64,2,2,64,64,8,0.0014580149669200181,0.0016256263852119446,0.030668519735336304
64,2,2,64,128,1,0.005528936572372914,0.005312030240893364,0.051789327561855315
64,2,2,64,128,2,0.0024969344306737186,0.0027609668113291264,0.04119335651397705
64,2,2,64,128,3,0.0022838763520121575,0.0018557273037731648,0.03261321723461151
64,2,2,64,128,4,0.0018334322795271873,0.0010520401317626238,0.025039706826210022
64,2,2,64,128,5,0.0034868985414505003,0.0033333257399499414,0.043753870129585266
64,2,2,64,128,6,0.0013621476851403713,0.0015297909593209624,0.03033034086227417
64,2,2,64,128,8,0.00482909383252263,0.00404610525816679,0.04733321607112884
64,2,2,64,256,1,0.007907950282096864,0.0071120839938521386,0.06275086462497712
64,2,2,64,256,2,0.0045882145687937735,0.00357886022888124,0.04547374576330185
64,2,2,64,256,3,0.0036854333616793155,0.0033729386702179907,0.04372921526432037
64,2,2,64,256,4,0.003968867883086205,0.0031386888585984707,0.042995449304580685
64,2,2,64,256,5,0.0036528315767645836,0.0033439403772354127,0.043505603671073916
64,2,2,64,256,6,0.004538946505635977,0.0035673424415290354,0.04512893676757813
64,2,2,64,256,8,0.003196166791021824,0.003547099279239774,0.045089857876300814
64,2,2,64,512,1,0.002448502443730831,0.0023216241039335727,0.03733951389789581
64,2,2,64,512,2,0.002746829888783395,0.0033801496447995304,0.04424510419368744
64,2,2,64,512,3,0.006730988509953022,0.005887228846549988,0.05663014620542526
64,2,2,64,512,4,0.0025910439155995848,0.0023720321897417306,0.03672478586435318
64,2,2,64,512,5,0.007177894711494446,0.005564223285764456,0.0555926650762558
64,2,2,64,512,6,0.0076318376511335375,0.005585846565663815,0.05414243668317795
64,2,2,64,512,8,0.003556107711046934,0.0028984009474515913,0.03943460553884506
